#,Couple name,Bunny 1,Bunny 2,Contributor,Sort ID,Versions
1,W-15-1 x C-17-1,W-15-1,C-17-1,LeungoftheJack,11513171,1.0.5 - current
2,W-16-1 x C-17-1,W-16-1,C-17-1,LeungoftheJack,11613171,1.0.5 - current
3,W-17-1 x C-17-1,W-17-1,C-17-1,LeungoftheJack,11713171,1.0.5 - current
4,W-17-1 x C-18-1,W-17-1,C-18-1,Puksu,11713181,1.0.5 - current
5,W-17-1 x C-19-1,W-17-1,C-19-1,Puksu,11713191,1.0.5 - current
6,W-18-1 x C-17-1,W-18-1,C-17-1,LeungoftheJack,11813171,1.0.5 - current
7,W-20-1 x C-19-1,W-20-1,C-19-1,Saint Yin,12013191,1.0.5 - current
8,W-20-1 x S-23-1,W-20-1,S-23-1,Saint Yin,12014231,1.0.5 - current
9,W-21-1 x C-19-1,W-21-1,C-19-1,Saint Yin,12113191,1.0.5 - current
10,W-21-1 x S-23-1,W-21-1,S-23-1,Saint Yin,12114231,1.0.5 - current
11,W-21-1 x NE?-20-1,W-21-1,NE?-20-1,LeungoftheJack,12117201,1.0.5 - current
12,W-23-1 x N-19-1,W-23-1,N-19-1,Saint Yin,12312191,1.0.5 - current
13,W-23-1 x N-19-2,W-23-1,N-19-2,Saint Yin,12312192,1.0.5 - current
14,W-23-1 x C-19-1,W-23-1,C-19-1,Saint Yin,12313191,1.0.5 - current
15,W-23-1 x NW?-21-1,W-23-1,NW?-21-1,Dyspro,12316211,1.0.9
16,W-23-1 x NE?-20-1,W-23-1,NE?-20-1,SandCu225,12317201,1.0.5 - current
17,W-24-1 x N-19-1,W-24-1,N-19-1,Saint Yin,12412191,1.0.5 - current
18,W-24-1 x N-19-2,W-24-1,N-19-2,Saint Yin,12412192,1.0.5 - current
19,W-24-1 x C-19-1,W-24-1,C-19-1,Saint Yin,12413191,1.0.5 - current
20,W-24-1 x NW?-21-1,W-24-1,NW?-21-1,Dyspro,12416211,1.0.9
21,W-24-1 x NE?-20-1,W-24-1,NE?-20-1,SandCu225,12417201,1.0.5 - current
22,W-25-1 x N-19-1,W-25-1,N-19-1,Saint Yin,12512191,1.0.5 - current
23,W-25-1 x N-19-2,W-25-1,N-19-2,Saint Yin,12512192,1.0.5 - current
24,W-25-1 x C-19-1,W-25-1,C-19-1,Saint Yin,12513191,1.0.5 - current
